"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 22","142,000,992","147,948,000","147,948,000","140,238,000","1.66K","-3.95%"
"2024- 12- 15","147,835,008","145,828,992","156,984,000","139,839,008","5.64K","1.36%"
"2024- 12- 08","145,850,000","139,088,000","145,950,000","135,926,000","3.68K","4.93%"
"2024- 12- 01","139,000,000","133,807,000","145,827,008","112,000,000","6.10K","3.84%"
"2024- 11- 24","133,856,000","136,142,000","136,934,000","127,502,000","3.71K","-1.65%"
"2024- 11- 17","136,100,000","127,184,000","138,870,000","125,416,000","4.21K","7.09%"
"2024- 11- 10","127,095,000","106,358,000","130,999,000","106,200,000","24.26K","19.49%"
"2024- 11- 03","106,366,000","97,252,000","107,504,000","93,165,000","12.11K","9.43%"
"2024- 10- 27","97,203,000","93,952,000","102,096,000","93,884,000","9.40K","3.45%"
"2024- 10- 20","93,965,000","93,356,000","95,126,000","90,805,000","8.51K","0.68%"
"2024- 10- 13","93,332,000","85,090,000","93,672,000","83,907,000","7.74K","9.71%"
"2024- 10- 06","85,072,000","83,965,000","86,294,000","80,643,000","7.64K","1.32%"
"2024- 09- 29","83,965,000","86,718,000","86,824,000","80,766,000","7.18K","-3.18%"
"2024- 09- 22","86,721,000","84,400,000","87,398,000","83,507,000","1.63K","2.68%"
"2024- 09- 15","84,456,000","80,521,000","85,475,000","77,666,000","7.71K","4.89%"
"2024- 09- 08","80,518,000","73,580,000","81,209,000","72,920,000","8.02K","9.40%"
"2024- 09- 01","73,600,000","80,239,000","81,093,000","72,029,000","6.36K","-8.27%"
"2024- 08- 25","80,236,000","85,799,000","87,000,000","79,102,000","2.31K","-6.48%"
"2024- 08- 18","85,799,000","82,750,000","86,500,000","80,002,000","2.47K","3.69%"
"2024- 08- 11","82,749,000","85,642,000","86,413,000","79,312,000","2.21K","-3.38%"
"2024- 08- 04","85,642,000","85,931,000","87,974,000","71,711,000","3.74K","-0.34%"
"2024- 07- 28","85,931,000","94,421,000","97,196,000","84,825,000","3.03K","-9.04%"
"2024- 07- 21","94,470,000","94,199,000","96,810,000","89,226,000","1.52K","0.29%"
"2024- 07- 14","94,200,000","82,922,000","94,700,000","82,922,000","3.11K","13.60%"
"2024- 07- 07","82,922,000","82,781,000","83,756,000","77,801,000","1.49K","0.17%"
"2024- 06- 30","82,781,000","85,703,000","89,540,000","77,272,000","1.84K","-3.41%"
"2024- 06- 23","85,704,000","90,827,000","91,189,000","83,001,000","1.89K","-5.64%"
"2024- 06- 16","90,827,000","93,836,000","94,599,000","89,205,000","1.03K","-3.32%"
"2024- 06- 09","93,947,000","98,046,000","98,199,000","93,000,000","1.75K","-4.16%"
"2024- 06- 02","98,029,000","94,770,000","99,650,000","94,400,000","2.06K","3.44%"
"2024- 05- 26","94,770,000","96,149,000","97,370,000","93,280,000","1.37K","-1.43%"
"2024- 05- 19","96,149,000","93,003,000","98,120,000","91,745,000","2.52K","3.38%"
"2024- 05- 12","93,001,000","85,703,000","93,442,000","85,290,000","2.28K","8.52%"
